longitude,latitude
-118.22,34.19
-121.33,38.01
-117.87,33.75
-122.04,37.35
-122.43,37.78
-122.17,38.08
-121.93,37.7
-122.24,37.81
-119.34,36.31
-120.08,36.34
-122.42,37.71
-122.02,37.29
-118.11,33.95
-122.06,38.25
-122.07,37.89
-117.76,34.71
-121.95,37.33
-122.06,37.64
-118.46,34.22
-118.21,33.95
-118.5,34.2
-122.67,38.47
-121.87,37.39
-121.92,36.62
-117.29,34.11
-121.26,37.96
-118.16,34.06
-122.24,37.47
-122.61,38.09
-122.28,37.88
-119.07,35.33
-118.11,34.1
-122.16,37.73
-117.95,34.09
-117.91,33.92
-122.13,37.45
-120.29,38.01
-118.37,33.81
-120.7,36.99
-122.22,38.11
-118.13,33.89
-117.66,34.13
-121.14,39.1
-118.15,33.77
-118.37,33.91
-118.2,33.79
-118.16,34.02
-122.06,37.86
-117.93,33.65
-122.37,37.58
-119.37,36.19
-121.91,37.68
-119.8,36.68
-121.01,38.73
-122.27,37.82
-118.36,34.06
-119.12,36.05
-122.14,37.42
-117.84,33.6
-121.81,37.25
-121.3,38.63
-122.41,37.8
-115.55,32.78
-118.53,34.03
-118.15,33.95
-117.09,32.76
-119.59,36.57
-118.39,34.15
-120.49,37.3
-120.06,39.15
-121.91,38.02
-117.09,32.65
-119.01,35.3
-121.32,38.57
-117.53,33.83
-121.88,37.3
-118.14,34.71
-120.17,39.32
-118.46,33.99
-118.2,34.14
-118.31,34.07
-116.94,33.73
-122.49,37.76
-117.17,32.81
-122.26,37.8
-118.37,33.95
-118.42,34.26
-117.44,34.1
-118.03,33.99
-121.7,37.2
-122.02,37.58
-117.69,33.53
-122.14,38.16
-117.05,32.59
-121.21,38.83
-118.95,35.36
-121.95,38.34
-122.01,38.36
-124.18,40.79
-119.03,34.25
-118.06,34.13
-118.12,34.14
-118.32,33.88
-122.06,37.89
-122.08,37.65
-118.19,33.78
-118.45,34.2
-121.38,38.67
-117.96,33.65
-117.09,32.61
-117.82,33.85
-120.08,41.79
-118.32,33.35
-122.25,37.82
-122.47,37.74
-121.27,38.72
-121.03,37.69
-124.03,40.45
-117.3,34.1
-118.16,33.77
-117.94,33.8
-122.24,37.81
-118.12,33.83
-118.13,33.95
-122.25,37.49
-120.9,37.76
-122.59,38.92
-122.12,37.42
-121.52,38.9
-117.12,32.76
-122.32,37.96
-119.04,35.36
-121.3,37.98
-121.38,38.59
-118.19,33.95
-122.06,37.54
-121.45,38.51
-118.29,34.18
-121.81,37.29
-121.58,37.01
-122.35,37.97
-118.4,33.87
-118.29,34.04
-122.26,37.53
-119.16,34.27
-117.29,33.19
-121.46,39.4
-119.88,34.43
-121.3,37.92
-118.17,33.98
-122.12,37.7
-122.39,40.57
-117.08,32.68
-122.04,38.25
-122.41,37.73
-121.97,37.35
-118.46,34.18
-122.02,37.01
-122.51,37.89
-117.07,33.01
-117.79,33.8
-118.13,34.03
-118.41,34.3
-119.09,34.35
-122.44,37.78
-121.44,38.58
-118.1,34.07
-122.2,37.83
-121.94,37.26
-117.25,34.41
-117.18,32.81
-118.26,34.07
-118.4,34.11
-117.2,33.16
-118.18,33.92
-124.14,40.59
-119.02,35.32
-121.16,38.74
-117.17,33.34
-121.22,37.96
-118.02,34.15
-122.04,37.62
-118.14,34.03
-118.25,33.79
-122.57,38.58
-115.56,32.78
-122.16,37.83
-117.16,33.61
-122.56,37.98
-118.53,34.2
-122.12,37.71
-122.28,37.82
-117.28,33.1
-117.14,32.71
-117.07,32.75
-122.17,37.75
-117.08,32.91
-122.13,37.72
-118.38,34.04
-118.04,34.13
-118.89,34.22
-118.08,33.79
-119.12,34.23
-118.26,33.78
-118.09,33.95
-118.19,33.83
-122.21,37.8
-117.2,33.12
-118.39,34.19
-121.99,38.34
-122.41,37.71
-118.25,34.14
-118.09,34.63
-123.64,39.45
-118.19,33.77
-117.8,33.66
-122.14,37.68
-122.06,40.55
-121.28,38.67
-121.54,39.5
-121.37,38.56
-121.5,38.61
-122.3,37.81
-121.92,37.31
-117.26,34.13
-117.06,33.13
-122.54,37.94
-115.51,33.24
-117.09,32.69
-122.41,40.53
-118.3,33.95
-118.4,33.97
-118.21,34.16
-121.04,38.81
-119.7,34.36
-117.11,32.74
-118.11,33.96
-121.86,38.0
-118.18,33.78
-121.45,38.54
-121.91,36.98
-118.28,34.03
-117.96,34.08
-123.69,38.9
-117.82,33.81
-116.92,32.82
-117.05,32.59
-117.06,32.67
-122.15,37.69
-117.33,34.06
-118.32,33.91
-116.42,33.79
-118.19,33.99
-122.9,39.23
-117.24,34.04
-117.98,33.64
-118.4,34.19
-119.3,36.33
-118.15,34.13
-118.05,33.93
-117.96,33.9
-117.28,32.84
-119.09,35.41
-122.21,37.81
-120.42,37.95
-119.17,34.29
-121.94,38.03
-117.96,34.0
-118.33,34.18
-117.33,33.87
-119.09,34.24
-117.92,33.89
-117.41,34.11
-118.06,33.83
-117.91,33.65
-118.29,34.18
-117.25,32.81
-118.3,34.11
-121.38,38.65
-117.82,33.73
-120.81,38.73
-116.44,34.16
-117.31,34.1
-117.34,34.08
-118.37,34.09
-118.22,33.88
-118.07,34.09
-122.09,37.68
-118.26,34.02
-118.97,35.37
-122.07,37.88
-118.34,33.8
-122.7,38.35
-114.56,33.69
-121.92,37.64
-122.25,40.42
-119.81,36.75
-117.68,35.63
-117.25,34.08
-115.52,32.73
-121.84,37.18
-122.33,41.86
-121.91,37.29
-118.52,34.04
-116.83,32.83
-117.61,33.67
-118.38,34.08
-122.47,37.95
-120.48,37.3
-118.33,34.2
-122.46,37.71
-121.83,36.61
-118.63,34.19
-122.04,36.97
-118.25,33.78
-122.49,37.67
-117.3,33.08
-121.88,37.34
-118.14,33.89
-118.38,34.21
-118.22,34.19
-122.43,37.63
-118.93,34.2
-120.25,39.34
-117.42,34.13
-118.47,34.14
-116.89,32.99
-119.12,34.38
-121.84,37.34
-117.01,32.66
-117.28,33.72
-122.32,37.56
-122.25,38.12
-122.38,40.56
-118.23,33.91
-118.27,34.16
-122.23,37.76
-119.83,36.77
-118.42,34.06
-117.69,34.07
-121.8,37.31
-118.14,34.17
-117.42,34.11
-117.06,33.01
-120.98,38.67
-118.37,33.99
-121.33,38.04
-121.34,38.56
-118.66,34.18
-121.7,36.48
-122.04,37.34
-115.54,32.79
-118.28,33.94
-122.49,37.99
-123.74,40.66
-117.97,34.15
-122.26,37.5
-117.25,32.79
-118.15,33.95
-117.94,33.88
-118.3,33.75
-117.67,34.05
-122.27,37.85
-117.97,33.77
-121.36,38.64
-117.12,34.06
-118.61,34.2
-122.48,37.59
-121.46,38.69
-118.15,35.04
-118.3,34.26
-118.25,33.97
-118.04,34.12
-121.77,37.68
-121.85,38.43
-122.11,37.41
-121.38,38.7
-118.76,34.26
-122.01,37.06
-117.72,33.49
-118.03,34.15
-121.36,38.56
-118.21,33.95
-119.27,36.18
-118.39,34.05
-118.28,34.06
-118.31,33.9
-117.24,33.94
-122.34,37.46
-118.43,34.08
-121.59,39.15
-121.29,37.95
-119.64,36.82
-117.03,32.67
-121.92,37.25
-122.13,37.47
-120.44,37.31
-118.23,33.78
-119.82,34.43
-122.46,37.59
-117.48,33.94
-118.29,33.99
-119.94,38.92
-117.04,32.66
-118.25,34.07
-117.27,33.2
-122.25,37.85
-121.81,38.0
-122.55,37.91
-118.1,33.98
-118.83,34.23
-121.89,37.27
-121.92,37.47
-121.88,37.27
-117.07,32.75
-121.3,37.98
-120.87,37.76
-117.98,33.75
-121.32,38.74
-118.47,35.72
-121.97,37.3
-118.09,34.68
-122.13,37.47
-122.11,37.36
-122.05,37.33
-117.33,34.17
-117.8,34.11
-121.75,36.91
-122.21,38.83
-121.32,37.96
-122.03,38.27
-118.11,33.88
-120.41,38.03
-118.16,34.11
-118.17,34.11
-121.09,39.48
-118.41,33.89
-120.81,37.53
-122.65,38.96
-122.45,37.79
-116.94,33.74
-122.45,37.78
-122.33,37.93
-122.45,37.73
-122.08,37.39
-118.04,33.98
-122.44,37.72
-118.2,33.8
-118.04,33.87
-118.37,33.95
-117.42,34.08
-117.25,33.39
-118.36,33.92
-119.36,36.33
-118.3,34.04
-117.1,32.76
-121.44,36.51
-122.25,40.15
-119.29,36.28
-121.07,38.66
-118.08,33.93
-117.95,33.95
-121.55,38.59
-117.09,32.64
-121.27,37.96
-120.67,38.19
-117.13,34.17
-118.21,33.96
-118.9,34.4
-119.7,36.94
-117.29,34.1
-117.58,34.09
-120.97,37.66
-117.1,33.09
-119.03,35.38
-118.87,34.23
-118.61,34.21
-123.38,39.37
-117.24,33.23
-117.81,34.01
-119.77,36.78
-117.96,34.06
-122.03,36.97
-120.7,35.14
-117.92,33.74
-122.44,37.73
-121.84,37.37
-118.19,34.07
-121.19,38.66
-117.87,33.6
-120.43,34.86
-121.8,38.69
-117.93,33.8
-124.1,40.5
-118.14,34.18
-119.23,34.17
-118.22,34.13
-118.58,34.2
-117.99,33.69
-118.25,33.93
-118.26,33.78
-122.69,38.44
-118.26,34.02
-117.57,34.07
-117.83,33.77
-121.21,37.79
-121.88,37.37
-120.79,38.83
-122.44,37.8
-121.32,38.62
-122.14,37.67
-117.31,34.08
-121.19,38.04
-117.8,33.7
-117.75,34.06
-117.1,32.67
-122.75,38.46
-122.38,40.57
-120.36,40.45
-122.27,37.86
-117.95,33.78
-117.17,34.12
-116.87,33.91
-118.45,37.25
-118.18,36.63
-122.27,37.84
-118.35,34.08
-122.05,38.0
-119.32,34.35
-118.25,34.14
-118.35,33.94
-118.24,34.15
-121.94,37.54
-121.98,38.37
-120.84,35.31
-122.13,37.67
-122.11,37.66
-118.3,34.02
-120.43,38.02
-118.94,34.18
-117.22,33.17
-122.21,37.78
-122.43,37.8
-117.97,33.94
-117.33,34.09
-117.9,33.61
-122.25,37.77
-118.46,33.97
-117.88,33.82
-121.43,37.75
-120.79,38.7
-122.08,37.38
-117.7,33.72
-122.1,37.39
-118.43,34.42
-118.28,34.17
-118.25,34.0
-122.03,37.3
-121.42,37.71
-118.59,34.2
-117.12,32.76
-121.85,36.59
-118.77,34.28
-117.95,33.69
-117.47,34.06
-117.98,34.05
-118.22,34.21
-121.38,38.64
-122.83,38.89
-121.11,38.04
-121.99,37.35
-121.86,37.25
-118.35,33.87
-122.0,37.23
-117.32,34.14
-120.42,34.96
-118.26,33.85
-121.52,37.75
-122.07,37.13
-117.23,32.8
-119.01,35.36
-118.48,34.01
-122.1,37.71
-116.96,33.94
-117.08,32.65
-118.29,34.05
-121.87,37.41
-118.04,34.1
-117.55,33.92
-117.19,32.8
-121.88,37.28
-121.89,37.39
-122.49,37.75
-122.34,37.88
-117.93,34.08
-118.13,33.79
-122.0,38.38
-120.02,38.76
-117.11,32.76
-122.48,38.31
-121.64,36.8
-118.34,34.15
-118.96,35.87
-118.84,34.15
-122.07,38.26
-118.02,34.14
-118.23,33.92
-118.38,34.17
-121.68,36.67
-118.77,34.24
-120.62,35.13
-118.39,34.17
-118.2,33.98
-118.86,34.22
-118.32,33.98
-118.27,33.82
-118.03,33.92
-120.71,38.34
-121.16,38.75
-122.0,38.28
-122.31,37.92
-117.98,33.78
-121.42,36.86
-122.16,37.72
-122.01,37.25
-121.2,38.28
-119.4,36.04
-118.26,33.91
-120.26,37.11
-118.35,34.05
-117.7,33.57
-121.08,37.69
-122.29,40.39
-117.05,33.02
-117.95,33.78
-116.99,32.72
-121.91,37.31
-117.93,34.04
-116.21,33.71
-117.98,33.82
-118.08,34.13
-121.98,37.28
-117.46,33.94
-117.95,33.93
-117.89,33.72
-118.46,33.99
-117.36,33.18
-121.87,37.34
-117.38,33.2
-122.04,37.34
-118.2,33.77
-121.5,38.57
-117.95,33.63
-118.44,34.03
-117.94,33.91
-121.31,38.65
-122.08,37.36
-118.26,33.98
-119.27,35.51
-117.61,34.09
-117.18,32.84
-122.12,39.91
-121.19,38.13
-122.27,37.83
-122.95,40.67
-121.25,38.72
-117.29,33.83
-117.93,33.74
-117.68,35.61
-118.37,34.07
-117.86,33.62
-117.99,33.9
-117.28,34.13
-118.41,33.88
-118.18,34.1
-122.33,37.94
-118.16,33.8
-121.29,37.98
-118.19,33.77
-117.22,32.83
-121.47,38.95
-121.92,38.37
-117.04,32.69
-118.52,34.21
-122.5,38.4
-119.69,36.69
-119.79,36.76
-123.08,38.38
-119.01,36.08
-119.17,34.2
-119.86,34.41
-118.57,34.27
-117.41,34.01
-120.56,38.39
-122.77,38.33
-122.47,37.7
-121.83,39.76
-121.89,37.34
-122.44,37.76
-118.88,34.42
-122.34,37.57
-118.27,33.84
-117.98,33.78
-120.57,38.35
-117.88,33.85
-121.85,37.33
-122.32,37.94
-121.32,36.42
-119.47,35.14
-122.27,37.74
-119.79,36.3
-122.43,37.75
-116.91,33.75
-117.95,33.81
-117.23,33.16
-121.9,36.61
-118.1,33.89
-122.5,37.87
-119.27,36.32
-118.36,33.99
-114.98,33.07
-117.86,33.82
-119.08,36.02
-118.33,34.16
-122.71,38.46
-118.37,34.14
-122.26,37.77
-117.43,33.81
-119.76,36.78
-117.14,32.96
-118.19,33.82
-118.47,34.25
-121.61,39.13
-123.21,39.14
-117.11,32.77
-117.78,33.68
-121.47,39.51
-117.97,34.05
-121.14,38.84
-121.92,37.36
-121.86,40.77
-117.02,34.03
-114.73,33.43
-118.52,34.01
-117.84,34.63
-120.99,37.66
-121.23,38.79
-122.0,38.35
-117.88,33.75
-117.29,33.04
-121.97,37.97
-117.87,34.15
-118.37,34.16
-122.27,37.9
-119.76,36.75
-121.64,39.22
-117.1,33.0
-118.09,33.95
-122.06,37.37
-117.61,33.42
-118.02,33.97
-117.09,32.79
-117.78,33.87
-118.11,33.9
-118.16,34.09
-118.36,34.03
-118.11,33.9
-118.5,34.05
-119.61,36.59
-118.27,33.93
-122.15,37.41
-120.87,37.5
-117.26,33.06
-121.83,37.29
-119.04,35.31
-122.04,37.59
-117.15,33.7
-118.27,34.09
-117.04,32.72
-120.83,37.51
-116.79,33.99
-118.75,34.28
-119.42,35.19
-119.2,35.37
-118.12,33.91
-121.34,38.66
-118.06,33.8
-122.29,37.78
-122.28,37.54
-122.08,38.3
-119.76,36.79
-118.11,33.85
-122.02,37.36
-117.13,32.73
-118.54,34.38
-117.94,33.8
-122.43,37.72
-117.15,32.91
-122.43,37.74
-118.2,33.99
-117.05,32.77
-118.3,33.82
-119.77,36.44
-121.65,36.67
-119.34,36.34
-122.11,37.65
-118.5,34.05
-118.26,33.91
-117.96,33.79
-118.33,34.06
-118.17,33.86
-117.97,34.08
-122.13,37.44
-117.27,33.23
-122.43,37.75
-117.17,32.75
-122.04,36.96
-117.74,34.07
-121.41,38.64
-118.15,34.16
-117.36,33.2
-118.22,33.91
-116.96,33.62
-117.67,33.61
-121.98,37.97
-118.05,33.84
-123.41,40.07
-122.71,38.45
-119.33,36.32
-119.0,35.36
-121.88,37.44
-118.33,34.16
-118.63,34.16
-117.93,33.78
-117.78,33.54
-117.53,34.1
-117.59,33.93
-118.33,34.27
-119.03,36.08
-121.58,39.52
-117.56,34.12
-120.56,35.07
-121.84,36.61
-118.07,33.8
-117.41,33.96
-119.78,36.31
-118.23,34.09
-117.38,34.12
-122.29,37.9
-117.32,34.13
-121.26,38.66
-116.45,33.78
-120.2,34.61
-117.92,33.57
-117.29,34.09
-121.95,37.74
-118.27,34.07
-118.27,33.96
-121.55,39.09
-117.94,33.73
-122.03,37.34
-119.72,36.32
-116.99,32.83
-117.98,33.98
-118.36,34.05
-118.42,33.96
-116.97,33.13
-118.3,34.05
-118.51,34.22
-122.34,40.58
-122.44,37.73
-122.43,37.76
-119.7,34.43
-117.25,34.06
-118.19,34.05
-118.45,34.2
-118.66,34.1
-118.34,33.98
-117.24,32.79
-118.98,35.36
-117.77,33.6
-117.15,32.75
-116.86,32.8
-122.72,38.58
-118.52,34.04
-122.11,37.37
-120.12,36.01
-117.09,34.07
-121.36,38.6
-120.83,37.76
-120.81,35.19
-122.08,37.66
-117.81,33.75
-120.96,37.64
-117.53,33.92
-122.23,37.46
-122.12,38.0
-122.1,37.61
-121.57,37.0
-118.08,33.82
-121.91,36.55
-117.96,33.7
-117.8,34.1
-122.08,37.69
-121.94,37.3
-117.16,32.73
-118.24,33.97
-117.95,33.75
-121.9,38.01
-117.21,33.14
-117.4,33.9
-117.77,34.12
-118.44,34.22
-118.15,33.77
-122.18,37.72
-118.23,33.95
-116.87,33.93
-117.1,32.68
-122.15,37.7
-122.89,40.76
-121.33,38.68
-118.36,34.05
-118.7,34.28
-117.84,34.13
-120.93,35.76
-122.11,37.14
-120.85,37.77
-118.0,33.82
-118.21,34.04
-119.73,34.41
-121.91,37.33
-118.33,34.11
-122.18,37.77
-122.27,37.43
-121.22,38.4
-122.03,37.36
-118.3,34.02
-119.79,36.72
-117.27,34.13
-118.15,34.18
-117.62,34.08
-122.33,37.94
-117.96,33.93
-118.46,34.01
-118.4,34.1
-117.26,33.19
-117.34,34.39
-117.96,33.82
-117.4,34.06
-117.02,32.71
-119.07,35.36
-122.21,37.38
-118.23,34.21
-122.64,38.95
-118.29,34.26
-122.27,37.87
-122.17,38.06
-119.57,36.1
-120.69,35.26
-118.36,33.79
-117.17,32.8
-118.41,34.01
-119.14,35.76
-123.15,38.94
-121.85,37.44
-118.35,34.09
-118.3,34.06
-123.98,40.88
-122.21,37.48
-122.42,37.75
-118.49,34.27
-122.43,37.76
-118.14,33.75
-119.18,34.19
-120.97,37.84
-118.21,33.93
-119.68,34.43
-117.59,33.4
-121.51,37.02
-118.24,34.24
-118.06,33.8
-117.86,33.73
-118.35,34.07
-121.95,37.3
-116.93,32.8
-122.05,37.34
-121.86,37.4
-116.88,33.05
-122.02,36.98
-121.3,37.99
-118.14,34.06
-121.53,39.49
-122.44,37.72
-122.26,37.85
-118.92,34.17
-122.08,37.72
-119.19,34.18
-117.04,32.67
-119.67,34.42
-117.78,33.68
-117.89,33.76
-117.98,33.75
-121.53,39.52
-118.18,34.08
-118.01,33.84
-118.15,34.18
-118.19,34.2
-117.98,35.13
-118.16,33.79
-121.3,38.03
-118.44,34.28
-120.39,38.0
-122.26,37.55
-120.43,34.95
-119.58,36.1
-118.32,33.97
-119.85,36.75
-117.64,33.88
-122.36,37.59
-118.27,33.92
-121.94,37.26
-118.35,33.8
-122.1,37.67
-118.34,33.87
-121.58,37.01
-121.42,38.51
-118.43,34.25
-117.23,33.38
-122.12,37.85
-121.2,38.67
-121.41,36.84
-121.0,37.71
-117.96,33.65
-117.96,33.6
-118.56,34.03
-117.35,33.17
-118.31,34.06
-121.44,38.6
-122.3,38.32
-117.93,33.87
-121.22,38.0
-119.99,38.88
-121.77,38.67
-117.55,34.14
-119.57,36.1
-118.46,34.16
-121.36,38.67
-117.85,33.81
-117.91,33.61
-118.34,34.07
-118.19,33.82
-121.93,37.27
-117.37,33.97
-122.54,37.94
-117.93,33.83
-118.55,34.04
-116.51,33.94
-117.19,32.76
-116.98,32.8
-117.69,33.66
-118.99,36.07
-119.73,36.59
-124.15,40.78
-122.6,38.24
-116.92,32.76
-118.27,34.16
-120.48,34.9
-118.96,35.38
-119.99,38.94
-118.32,33.34
-118.04,33.71
-116.98,32.86
-119.81,36.79
-117.71,33.64
-118.4,33.78
-121.82,38.0
-120.42,34.94
-122.07,37.37
-118.3,34.06
-119.73,36.81
-122.4,40.57
-121.14,37.47
-122.16,37.71
-117.98,33.82
-122.15,37.74
-118.35,33.99
-119.32,36.3
-118.4,34.17
-118.99,37.63
-122.56,41.53
-118.25,34.23
-117.15,32.76
-121.05,37.65
-118.27,34.14
-117.03,32.65
-117.95,33.68
-122.02,37.31
-122.12,37.69
-117.32,34.06
-117.99,34.16
-117.1,32.9
-117.11,32.75
-117.33,34.04
-117.39,33.97
-117.36,34.28
-120.11,34.66
-118.25,33.99
-118.03,33.82
-121.93,37.31
-118.45,34.12
-122.23,38.1
-119.21,34.18
-121.31,38.75
-118.41,34.03
-120.04,36.96
-121.42,38.54
-121.18,38.67
-117.14,32.79
-121.06,37.67
-117.28,34.11
-118.85,34.27
-117.86,33.6
-122.42,37.76
-121.02,40.51
-122.25,37.82
-118.45,34.25
-122.15,37.44
-122.7,39.14
-117.98,33.71
-120.98,37.68
-117.3,34.17
-121.81,37.23
-115.37,32.81
-116.29,33.72
-117.9,33.7
-122.05,37.68
-121.63,39.15
-122.07,37.96
-118.02,33.9
-120.85,37.06
-118.06,33.91
-122.38,37.58
-121.32,37.95
-120.1,36.16
-119.52,34.41
-121.98,37.22
-118.26,34.18
-121.4,38.71
-120.57,35.18
-117.88,33.64
-118.1,34.05
-117.67,33.47
-118.12,33.94
-115.49,32.67
-122.83,38.96
-122.22,37.47
-122.28,37.55
-118.25,34.17
-117.37,34.1
-117.95,34.02
-122.25,40.17
-118.43,34.15
-117.25,33.92
-121.28,38.02
-121.32,37.96
-118.28,33.94
-120.59,35.11
-121.39,38.6
-118.32,34.12
-118.12,34.04
-118.34,34.08
-122.67,38.44
-122.49,37.74
-117.38,34.2
-123.82,40.16
-117.76,33.86
-120.45,34.94
-118.17,33.89
-121.89,38.01
-122.4,37.72
-118.36,33.93
-117.75,34.05
-121.97,37.97
-122.46,37.78
-118.38,34.16
-118.3,33.97
-117.73,34.12
-117.27,34.13
-122.13,37.45
-122.54,37.76
-117.91,34.07
-118.46,34.17
-118.1,34.07
-118.12,33.81
-117.06,32.7
-117.24,32.81
-117.95,33.78
-119.28,35.52
-116.99,33.73
-117.06,34.03
-118.1,34.08
-122.4,37.72
-121.77,36.93
-118.21,33.8
-117.23,34.15
-117.08,33.01
-117.83,33.73
-117.37,33.98
-122.5,37.75
-118.51,34.25
-117.26,34.24
-121.76,36.75
-117.95,33.68
-121.75,37.29
-118.25,34.0
-118.01,33.78
-122.47,37.61
-118.27,34.05
-122.54,37.96
-120.4,34.85
-117.27,34.15
-121.85,37.33
-117.25,33.22
-121.85,37.3
-122.09,37.66
-122.34,37.93
-118.3,34.01
-117.1,32.58
-118.38,33.77
-118.36,33.98
-118.3,33.76
-121.63,39.14
-122.1,37.66
-118.11,33.87
-121.95,37.26
-117.24,32.75
-122.23,37.78
-118.4,34.22
-119.75,36.76
-116.43,33.81
-121.82,38.02
-117.31,34.11
-118.02,34.1
-121.11,39.09
-117.96,33.84
-122.19,37.73
-122.04,37.62
-117.18,32.77
-121.36,38.67
-122.74,39.71
-118.22,33.95
-122.41,37.6
-118.45,34.26
-122.08,37.63
-118.29,34.11
-118.57,34.29
-121.83,37.36
-120.39,38.03
-116.95,33.97
-122.04,37.95
-117.41,33.95
-121.46,38.49
-118.19,34.06
-117.91,34.08
-119.73,34.35
